"","Author","patent_no","patentType","Seq","Lname","Fname","MI","authorfl","coauthor"
"455","terry,b.r.","0023091","wo",4,"terry","b","r.","terry,b","scudder,k, thastrup,o, bjoern,s, arkhammar,p"
"456","arkhammar,p.o.","0023091","wo",5,"arkhammar","p","o.","arkhammar,p","scudder,k, thastrup,o, bjoern,s, terry,b"
"457","uhlen,m.","0023580","wo",1,"uhlen","m","","uhlen,m","hober,s"
"458","hober,s.","0023580","wo",2,"hober","s","","hober,s","uhlen,m"
"459","klein,t.","0023616","wo",1,"klein","t","","klein,t","klussmann,s, fuerste,j, von,k"
"460","klussmann,s.","0023616","wo",2,"klussmann","s","","klussmann,s","klein,t, fuerste,j, von,k"
"461","fuerste,j.p.","0023616","wo",3,"fuerste","j","p.","fuerste,j","klein,t, klussmann,s, von,k"
"462","von,k.g.","0023616","wo",4,"von","k","g.","von,k","klein,t, klussmann,s, fuerste,j"
"463","shan,y.l.","0023620","wo",1,"shan","y","l.","shan,y","schouten,j"
"464","schouten,j.p.","0023620","wo",2,"schouten","j","p.","schouten,j","shan,y"
"465","de vries,s.c.","0024914","wo",1,"de vries","s","c.","de vries,s","hecht,v, schmidt,e"
"466","hecht,v.f.","0024914","wo",2,"hecht","v","f.","hecht,v","de vries,s, schmidt,e"
"467","schmidt,e.d.","0024914","wo",3,"schmidt","e","d.","schmidt,e","de vries,s, hecht,v"
"468","nathan,a.","0024931","wo",1,"nathan","a","","nathan,a","ellington,a"
"469","ellington,a.","0024931","wo",2,"ellington","a","","ellington,a","nathan,a"
"470","davignon,j.","0026348","wo",1,"davignon","j","","davignon,j","chretien,m, laaksonen,r, seidah,n, marcinkiewicz,m"
"471","chretien,m.","0026348","wo",2,"chretien","m","","chretien,m","davignon,j, laaksonen,r, seidah,n, marcinkiewicz,m"
"472","laaksonen,r.","0026348","wo",3,"laaksonen","r","","laaksonen,r","davignon,j, chretien,m, seidah,n, marcinkiewicz,m"
"473","seidah,n.","0026348","wo",4,"seidah","n","","seidah,n","davignon,j, chretien,m, laaksonen,r, marcinkiewicz,m"
"474","marcinkiewicz,m.","0026348","wo",5,"marcinkiewicz","m","","marcinkiewicz,m","davignon,j, chretien,m, laaksonen,r, seidah,n"
"475","cohen,s.","0026364","wo",1,"cohen","s","","cohen,s","bouwmeester,a, royet,j"
"476","bouwmeester,a.","0026364","wo",2,"bouwmeester","a","","bouwmeester,a","cohen,s, royet,j"
"477","royet,j.","0026364","wo",3,"royet","j","","royet,j","cohen,s, bouwmeester,a"
"478","bruggemann,m.","0026373","wo",1,"bruggemann","m","","bruggemann,m",""
"479","friedrichs,u.","0026671","wo",1,"friedrichs","u","","friedrichs,u","heppner,p, ringeis,a, lakner,m, cullmann,g, reiter,c"
"480","heppner,p.","0026671","wo",2,"heppner","p","","heppner,p","friedrichs,u, ringeis,a, lakner,m, cullmann,g, reiter,c"
"481","ringeis,a.","0026671","wo",3,"ringeis","a","","ringeis,a","friedrichs,u, heppner,p, lakner,m, cullmann,g, reiter,c"
"482","lakner,m.","0026671","wo",4,"lakner","m","","lakner,m","friedrichs,u, heppner,p, ringeis,a, cullmann,g, reiter,c"
"483","cullmann,g.","0026671","wo",5,"cullmann","g","","cullmann,g","friedrichs,u, heppner,p, ringeis,a, lakner,m, reiter,c"
"484","reiter,c.","0026671","wo",6,"reiter","c","","reiter,c","friedrichs,u, heppner,p, ringeis,a, lakner,m, cullmann,g"
"485","balasubramanian,s.","0027521","wo",1,"balasubramanian","s","","balasubramanian,s","klenerman,d"
"486","klenerman,d.","0027521","wo",2,"klenerman","d","","klenerman,d","balasubramanian,s"
"487","choo,y.","0027878","wo",1,"choo","y","","choo,y",""
"488","douvdevani,a.","0028019","wo",1,"douvdevani","a","","douvdevani,a","chaimovitz,c"
"489","chaimovitz,c.","0028019","wo",2,"chaimovitz","c","","chaimovitz,c","douvdevani,a"
"490","turecek,p.","0028021","wo",1,"turecek","p","","turecek,p","scheiflinger,f, schwarz,h, lenting,p, van mourik,j, pannekoek,h, mertens,k"
"491","scheiflinger,f.","0028021","wo",2,"scheiflinger","f","","scheiflinger,f","turecek,p, schwarz,h, lenting,p, van mourik,j, pannekoek,h, mertens,k"
"492","schwarz,h.p.","0028021","wo",3,"schwarz","h","p.","schwarz,h","turecek,p, scheiflinger,f, lenting,p, van mourik,j, pannekoek,h, mertens,k"
"493","lenting,p.j.","0028021","wo",4,"lenting","p","j.","lenting,p","turecek,p, scheiflinger,f, schwarz,h, van mourik,j, pannekoek,h, mertens,k"
"494","van mourik,j.a.","0028021","wo",5,"van mourik","j","a.","van mourik,j","turecek,p, scheiflinger,f, schwarz,h, lenting,p, pannekoek,h, mertens,k"
"495","pannekoek,h.","0028021","wo",6,"pannekoek","h","","pannekoek,h","turecek,p, scheiflinger,f, schwarz,h, lenting,p, van mourik,j, mertens,k"
"496","mertens,k.","0028021","wo",7,"mertens","k","","mertens,k","turecek,p, scheiflinger,f, schwarz,h, lenting,p, van mourik,j, pannekoek,h"
"497","campbell,a.k.","0028025","wo",1,"campbell","a","k.","campbell,a",""
"498","fiordalisi,g.","0028039","wo",1,"fiordalisi","g","","fiordalisi,g","sottini,a, bonelli,m, olivero,p, primi,d, vaglini,l, mattioli,s, bonelli,f, dal,c, mantero,g"
"499","sottini,a.","0028039","wo",10,"sottini","a","","sottini,a","fiordalisi,g, bonelli,m, olivero,p, primi,d, vaglini,l, mattioli,s, bonelli,f, dal,c, mantero,g"
"500","bonelli,m.","0028039","wo",2,"bonelli","m","","bonelli,m","fiordalisi,g, sottini,a, olivero,p, primi,d, vaglini,l, mattioli,s, bonelli,f, dal,c, mantero,g"
"501","olivero,p.","0028039","wo",3,"olivero","p","","olivero,p","fiordalisi,g, sottini,a, bonelli,m, primi,d, vaglini,l, mattioli,s, bonelli,f, dal,c, mantero,g"
"502","primi,d.","0028039","wo",4,"primi","d","","primi,d","fiordalisi,g, sottini,a, bonelli,m, olivero,p, vaglini,l, mattioli,s, bonelli,f, dal,c, mantero,g"
"503","vaglini,l.","0028039","wo",5,"vaglini","l","","vaglini,l","fiordalisi,g, sottini,a, bonelli,m, olivero,p, primi,d, mattioli,s, bonelli,f, dal,c, mantero,g"
"504","mattioli,s.","0028039","wo",6,"mattioli","s","","mattioli,s","fiordalisi,g, sottini,a, bonelli,m, olivero,p, primi,d, vaglini,l, bonelli,f, dal,c, mantero,g"
"505","bonelli,f.","0028039","wo",7,"bonelli","f","","bonelli,f","fiordalisi,g, sottini,a, bonelli,m, olivero,p, primi,d, vaglini,l, mattioli,s, dal,c, mantero,g"
"506","dal,c.a.","0028039","wo",8,"dal","c","a.","dal,c","fiordalisi,g, sottini,a, bonelli,m, olivero,p, primi,d, vaglini,l, mattioli,s, bonelli,f, mantero,g"
"507","mantero,g.l.","0028039","wo",9,"mantero","g","l.","mantero,g","fiordalisi,g, sottini,a, bonelli,m, olivero,p, primi,d, vaglini,l, mattioli,s, bonelli,f, dal,c"
"508","marraccini,p.","0028046","wo",1,"marraccini","p","","marraccini,p","rogers,j"
"509","rogers,j.","0028046","wo",2,"rogers","j","","rogers,j","marraccini,p"
"510","colloca,s.","0028060","wo",1,"colloca","s","","colloca,s",""
"511","corti,o.","0028062","wo",1,"corti","o","","corti,o","mallet,j"
"512","mallet,j.","0028062","wo",2,"mallet","j","","mallet,j","corti,o"
"513","carroll,m.w.","0029428","wo",1,"carroll","m","w.","carroll,m","myers,k"
"514","myers,k.a.","0029428","wo",2,"myers","k","a.","myers,k","carroll,m"
"515","harris,s.","0029432","wo",1,"harris","s","","harris,s","dunkley,m"
"516","dunkley,m.","0029432","wo",2,"dunkley","m","","dunkley,m","harris,s"
"517","fomsgaard,a.","0029561","wo",1,"fomsgaard","a","","fomsgaard,a",""
"518","logemann,e.","0029592","wo",1,"logemann","e","","logemann,e","somssich,i, hahlbrock,k, kirsch,c, rushton,p"
"519","somssich,i.","0029592","wo",2,"somssich","i","","somssich,i","logemann,e, hahlbrock,k, kirsch,c, rushton,p"
"520","hahlbrock,k.","0029592","wo",3,"hahlbrock","k","","hahlbrock,k","logemann,e, somssich,i, kirsch,c, rushton,p"
"521","kirsch,c.","0029592","wo",4,"kirsch","c","","kirsch,c","logemann,e, somssich,i, hahlbrock,k, rushton,p"
"522","rushton,p.","0029592","wo",5,"rushton","p","","rushton,p","logemann,e, somssich,i, hahlbrock,k, kirsch,c"
"523","morgan,j.a.","0030453","wo",1,"morgan","j","a.","morgan,j","ellis,d, jarrett,p"
"524","ellis,d.","0030453","wo",2,"ellis","d","","ellis,d","morgan,j, jarrett,p"
"525","jarrett,p.","0030453","wo",3,"jarrett","p","","jarrett,p","morgan,j, ellis,d"
"526","haskard,d.","0031126","wo",1,"haskard","d","","haskard,d","george,a, lechler,r, ramrakha,p"
"527","george,a.j.","0031126","wo",2,"george","a","j.","george,a","haskard,d, lechler,r, ramrakha,p"
"528","lechler,r.i.","0031126","wo",3,"lechler","r","i.","lechler,r","haskard,d, george,a, ramrakha,p"
"529","ramrakha,p.s.","0031126","wo",4,"ramrakha","p","s.","ramrakha,p","haskard,d, george,a, lechler,r"
"530","hope,g.","0031127","wo",1,"hope","g","","hope,g","mclauchlan,j"
"531","mclauchlan,j.","0031127","wo",2,"mclauchlan","j","","mclauchlan,j","hope,g"
"532","fritz,h.","0031140","wo",1,"fritz","h","","fritz,h","horstmann,j, sommerhoff,c, aviles,f, canals,f, querol,e, reverter,d, vendrell,j"
"533","horstmann,j.","0031140","wo",2,"horstmann","j","","horstmann,j","fritz,h, sommerhoff,c, aviles,f, canals,f, querol,e, reverter,d, vendrell,j"
"534","sommerhoff,c.p.","0031140","wo",3,"sommerhoff","c","p.","sommerhoff,c","fritz,h, horstmann,j, aviles,f, canals,f, querol,e, reverter,d, vendrell,j"
"535","aviles,f.x.","0031140","wo",4,"aviles","f","x.","aviles,f","fritz,h, horstmann,j, sommerhoff,c, canals,f, querol,e, reverter,d, vendrell,j"
"536","canals,f.","0031140","wo",5,"canals","f","","canals,f","fritz,h, horstmann,j, sommerhoff,c, aviles,f, querol,e, reverter,d, vendrell,j"
"537","querol,e.","0031140","wo",6,"querol","e","","querol,e","fritz,h, horstmann,j, sommerhoff,c, aviles,f, canals,f, reverter,d, vendrell,j"
"538","reverter,d.","0031140","wo",7,"reverter","d","","reverter,d","fritz,h, horstmann,j, sommerhoff,c, aviles,f, canals,f, querol,e, vendrell,j"
"539","vendrell,j.","0031140","wo",8,"vendrell","j","","vendrell,j","fritz,h, horstmann,j, sommerhoff,c, aviles,f, canals,f, querol,e, reverter,d"
"540","eshhar,z.","0031239","wo",1,"eshhar","z","","eshhar,z","bolhuis,r, willemsen,r"
"541","bolhuis,r.l.","0031239","wo",2,"bolhuis","r","l.","bolhuis,r","eshhar,z, willemsen,r"
"542","willemsen,r.a.","0031239","wo",3,"willemsen","r","a.","willemsen,r","eshhar,z, bolhuis,r"
"543","sblattero,d.","0031246","wo",1,"sblattero","d","","sblattero,d","bradbury,a"
"544","bradbury,a.r.","0031246","wo",2,"bradbury","a","r.","bradbury,a","sblattero,d"
"545","klostermann,a.","0031252","wo",1,"klostermann","a","","klostermann,a","behl,c"
"546","behl,c.","0031252","wo",2,"behl","c","","behl,c","klostermann,a"
"547","uemura,h.","0031257","wo",1,"uemura","h","","uemura,h","okui,a, kominami,k, yamaguchi,n, mitsui,s"
"548","okui,a.","0031257","wo",2,"okui","a","","okui,a","uemura,h, kominami,k, yamaguchi,n, mitsui,s"
"549","kominami,k.","0031257","wo",3,"kominami","k","","kominami,k","uemura,h, okui,a, yamaguchi,n, mitsui,s"
"550","yamaguchi,n.","0031257","wo",4,"yamaguchi","n","","yamaguchi,n","uemura,h, okui,a, kominami,k, mitsui,s"
"551","mitsui,s.","0031257","wo",5,"mitsui","s","","mitsui,s","uemura,h, okui,a, kominami,k, yamaguchi,n"
"552","bell,s.g.","0031273","wo",1,"bell","s","g.","bell,s","carmichael,a, wong,l"
"553","carmichael,a.b.","0031273","wo",2,"carmichael","a","b.","carmichael,a","bell,s, wong,l"
"554","wong,l.l.","0031273","wo",3,"wong","l","l.","wong,l","bell,s, carmichael,a"
"555","burrell,m.m.","0031274","wo",1,"burrell","m","m.","burrell,m",""
"556","kingsman,s.m.","0031280","wo",1,"kingsman","s","m.","kingsman,s","mitrophanous,k, uden,m, rohll,j, kingsman,a"
"557","mitrophanous,k.","0031280","wo",2,"mitrophanous","k","","mitrophanous,k","kingsman,s, uden,m, rohll,j, kingsman,a"
"558","uden,m.","0031280","wo",3,"uden","m","","uden,m","kingsman,s, mitrophanous,k, rohll,j, kingsman,a"
