"","Author","patent_no","patentType","Seq","Lname","Fname","MI","authorfl","coauthor"
"718","briscoe,c.","0037675","wo",1,"briscoe","c","","briscoe,c",""
"719","kastelic,t.","0038674","wo",1,"kastelic","t","","kastelic,t","cheneval,d, ruetz,s"
"720","cheneval,d.","0038674","wo",2,"cheneval","d","","cheneval,d","kastelic,t, ruetz,s"
"721","ruetz,s.","0038674","wo",3,"ruetz","s","","ruetz,s","kastelic,t, cheneval,d"
"722","schuchmann,m.","0039160","wo",1,"schuchmann","m","","schuchmann,m","wallach,d, goncharov,t"
"723","wallach,d.","0039160","wo",2,"wallach","d","","wallach,d","schuchmann,m, goncharov,t"
"724","goncharov,t.","0039160","wo",3,"goncharov","t","","goncharov,t","schuchmann,m, wallach,d"
"725","barnes,m.r.","0039162","wo",1,"barnes","m","r.","barnes,m","testa,t"
"726","testa,t.t.","0039162","wo",2,"testa","t","t.","testa,t","barnes,m"
"727","rademacher,t.w.","0039285","wo",1,"rademacher","t","w.","rademacher,t","schofield,j"
"728","schofield,j.","0039285","wo",2,"schofield","j","","schofield,j","rademacher,t"
"729","soerensen,j.f.","0039289","wo",1,"soerensen","j","f.","soerensen,j","sibbesen,o"
"730","sibbesen,o.","0039289","wo",2,"sibbesen","o","","sibbesen,o","soerensen,j"
"731","bravery,c.","0039294","wo",1,"bravery","c","","bravery,c","thompson,s, rushworth,s"
"732","thompson,s.","0039294","wo",2,"thompson","s","","thompson,s","bravery,c, rushworth,s"
"733","rushworth,s.","0039294","wo",3,"rushworth","s","","rushworth,s","bravery,c, thompson,s"
"734","bedate,a.c.","0039298","wo",1,"bedate","a","c.","bedate,a",""
"735","archer,j.a.","0039300","wo",1,"archer","j","a.","archer,j","tuerck,j"
"736","tuerck,j.a.","0039300","wo",2,"tuerck","j","a.","tuerck,j","archer,j"
"737","bestetti,g.","0039307","wo",1,"bestetti","g","","bestetti,g","cali,s, orsini,g, tonon,g, zuffi,g, ghisotti,d"
"738","cali,s.","0039307","wo",2,"cali","s","","cali,s","bestetti,g, orsini,g, tonon,g, zuffi,g, ghisotti,d"
"739","orsini,g.","0039307","wo",3,"orsini","g","","orsini,g","bestetti,g, cali,s, tonon,g, zuffi,g, ghisotti,d"
"740","tonon,g.","0039307","wo",4,"tonon","g","","tonon,g","bestetti,g, cali,s, orsini,g, zuffi,g, ghisotti,d"
"741","zuffi,g.","0039307","wo",5,"zuffi","g","","zuffi,g","bestetti,g, cali,s, orsini,g, tonon,g, ghisotti,d"
"742","ghisotti,d.","0039307","wo",6,"ghisotti","d","","ghisotti,d","bestetti,g, cali,s, orsini,g, tonon,g, zuffi,g"
"743","sakai,y.","0039308","wo",1,"sakai","y","","sakai,y","hashimoto,y, takemoto,y"
"744","hashimoto,y.","0039308","wo",2,"hashimoto","y","","hashimoto,y","sakai,y, takemoto,y"
"745","takemoto,y.","0039308","wo",3,"takemoto","y","","takemoto,y","sakai,y, hashimoto,y"
"746","kastelic,t.","0039314","wo",1,"kastelic","t","","kastelic,t","cheneval,d"
"747","cheneval,d.","0039314","wo",2,"cheneval","d","","cheneval,d","kastelic,t"
"748","diaz-torres,m.","0039323","wo",1,"diaz-torres","m","","diaz-torres,m","ferrari,e"
"749","ferrari,e.","0039323","wo",2,"ferrari","e","","ferrari,e","diaz-torres,m"
"750","morten,j.e.","0039331","wo",1,"morten","j","e.","morten,j","anand,r, smith,j"
"751","anand,r.","0039331","wo",2,"anand","r","","anand,r","morten,j, smith,j"
"752","smith,j.c.","0039331","wo",3,"smith","j","c.","smith,j","morten,j, anand,r"
"753","paulussen,a.d.","0039332","wo",1,"paulussen","a","d.","paulussen,a","armstrong,m"
"754","armstrong,m.","0039332","wo",2,"armstrong","m","","armstrong,m","paulussen,a"
"755","breviario,d.","0039334","wo",1,"breviario","d","","breviario,d","giani,s"
"756","giani,s.","0039334","wo",2,"giani","s","","giani,s","breviario,d"
"757","davies,d.","0040271","wo",1,"davies","d","","davies,d",""
"758","ito,t.","0040610","wo",1,"ito","t","","ito,t","tanaka,y, kaisho,t, nishimura,o"
"759","tanaka,y.","0040610","wo",2,"tanaka","y","","tanaka,y","ito,t, kaisho,t, nishimura,o"
"760","kaisho,t.","0040610","wo",3,"kaisho","t","","kaisho,t","ito,t, tanaka,y, nishimura,o"
"761","nishimura,o.","0040610","wo",4,"nishimura","o","","nishimura,o","ito,t, tanaka,y, kaisho,t"
"762","folk,w.r.","0040709","wo",1,"folk","w","r.","folk,w",""
"763","tawfik,d.","0040712","wo",1,"tawfik","d","","tawfik,d","griffiths,a"
"764","griffiths,a.","0040712","wo",2,"griffiths","a","","griffiths,a","tawfik,d"
"765","alberghina,l.","0040718","wo",1,"alberghina","l","","alberghina,l",""
"766","bonthron,d.","0040719","wo",1,"bonthron","d","","bonthron,d","markham,a"
"767","markham,a.f.","0040719","wo",2,"markham","a","f.","markham,a","bonthron,d"
"768","bjoerck,l.","0040729","wo",1,"bjoerck","l","","bjoerck,l","janulczyk,r"
"769","janulczyk,r.","0040729","wo",2,"janulczyk","r","","janulczyk,r","bjoerck,l"
"770","rees,r.c.","0040752","wo",1,"rees","r","c.","rees,r","li,g"
"771","li,g.","0040752","wo",2,"li","g","","li,g","rees,r"
"772","nofschneider,p.h.","0040922","ep",1,"nofschneider","p","h.","nofschneider,p","kupper,h, schaller,h, keller,w, zaslavsky,v"
"773","kupper,h.a.","0040922","ep",2,"kupper","h","a.","kupper,h","nofschneider,p, schaller,h, keller,w, zaslavsky,v"
"774","schaller,h.","0040922","ep",3,"schaller","h","","schaller,h","nofschneider,p, kupper,h, keller,w, zaslavsky,v"
"775","keller,w.","0040922","ep",4,"keller","w","","keller,w","nofschneider,p, kupper,h, schaller,h, zaslavsky,v"
"776","zaslavsky,v.","0040922","ep",5,"zaslavsky","v","","zaslavsky,v","nofschneider,p, kupper,h, schaller,h, keller,w"
"777","howell,s.","0040968","wo",1,"howell","s","","howell,s","wilson,s, van der logt,c"
"778","wilson,s.","0040968","wo",2,"wilson","s","","wilson,s","howell,s, van der logt,c"
"779","van der logt,c.p.e.","0040968","wo",3,"van der logt","c","p.e.","van der logt,c","howell,s, wilson,s"
"780","fiers,w.c.","0041313","ep",1,"fiers","w","c.","fiers,w",""
"781","fiers,w.c.","0041767","ep",1,"fiers","w","c.","fiers,w","remaut,e"
"782","remaut,e.r.","0041767","ep",2,"remaut","e","r.","remaut,e","fiers,w"
